search_term,id,name,canonical_name,target_type,status,reach
Ballarat,9071153,3350,"3350,Victoria,Australia",Postal Code,ENABLED,152000
Ballarat,9071151,3352,"3352,Victoria,Australia",Postal Code,ENABLED,62000
Bendigo,1000498,Bendigo,"Bendigo,Victoria,Australia",City,ENABLED,145000
Bendigo,9194245,Bendigo,"Bendigo,Bendigo,Victoria,Australia",City,ENABLED,42000
Bendigo,9195051,Kangaroo Flat,"Kangaroo Flat,Victoria,Australia",City,ENABLED,22000
Bendigo,9222630,White Hills,"White Hills,Victoria,Australia",City,ENABLED,7000
Bendigo,9190310,Golden Square,"Golden Square,Victoria,Australia",City,ENABLED,16000
Bendigo,9221107,North Bendigo,"North Bendigo,Victoria,Australia",City,ENABLED,10000
Bendigo,9215906,Strathdale,"Strathdale,Victoria,Australia",City,ENABLED,8000
Bendigo,9237082,Campaspe Shire,"Campaspe Shire,Victoria,Australia",Municipality,ENABLED,48000
Bendigo,9071500,3550,"3550,Victoria,Australia",Postal Code,ENABLED,100000
Bendigo,9071499,3556,"3556,Victoria,Australia",Postal Code,ENABLED,19000
