match_type,max_cpc_ceiling_aud,daily_budget_aud,period,clicks_30d,avg_cpc_aud,cost_30d_aud,conversions_30d,avg_cpa_aud
PHRASE,4,60,2026-09-03 to 2026-10-02,36.9,2.85,104.98,0.0,0.0
PHRASE,6,60,2026-09-03 to 2026-10-02,59.0,4.16,245.45,0.0,0.0
PHRASE,8,60,2026-09-03 to 2026-10-02,78.6,5.25,412.57,0.0,0.0
PHRASE,12,60,2026-09-03 to 2026-10-02,96.1,7.08,680.56,0.0,0.0
EXACT,4,60,2026-09-03 to 2026-10-02,13.0,2.97,38.52,0.0,0.0
EXACT,6,60,2026-09-03 to 2026-10-02,23.5,4.35,102.46,0.0,0.0
EXACT,8,60,2026-09-03 to 2026-10-02,36.4,5.7,207.39,0.0,0.0
EXACT,12,60,2026-09-03 to 2026-10-02,47.0,7.56,355.27,0.0,0.0
